Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
MB-0513	0	0.0608595923760203	0.022623225703537	0.0757729458973366	0	0.105466568776299	0	0.0929533406195183	0.00871816542106671	0.0291672336955641	0	0.0641687268729324	0.0299578794891025	0.0418194353976265	0.0840296511507742	0.259396154377918	0.00908898345756714	0	0	0.0984338373529596	0.0117230789190126	0.00582118049276532	0	0.539859144471327	0.848413991422519
MB-0514	0.0116922627581429	0.051142192287226	0.0296739243856637	0.098007947818044	0	0.116779079206927	0.0046652793360856	0.0797828856657672	0.0189033265026803	0.0389364688913661	0	0.0124457047729303	0.0200428437632815	0	0.0805918541903936	0.182340465039495	0.0127992281353937	0	0.235116714349262	0	0	0.00707982289734112	0	0.631201284105498	0.807839165695732
MB-0517	0.0277367591435673	0.0186003183155793	0.127743565765813	0.0727220027198962	0	0.07323041272336	2.09099974641766e-05	0.0728736177697014	0.00259698812182507	0.0391173804361489	0	0.0198403348775492	0.0506819868706116	0.0469155788062745	0.0289039912748916	0.170880979074839	0.002374387681418	0.00410537608608732	0.241035482536264	0	0	0.000619927798709268	0	0.67802185657383	0.784023806638303
MB-0521	0.0260864551992444	0	0.173700238542123	0.109665071976251	0	0.17891701574962	0.00433899751692239	0.0597529009986929	0	0.0581349423379048	0.000832432910574923	0.00269042739092571	0.0425574098456026	0	0.100554729410355	0.168031093372001	0.0160516683433056	0.00642861903173807	0.0512871342952974	0.000970863079440627	0	0	0	0.739531980340026	0.738713235914212
MB-0527	0	0.125721680435271	0.0670852720368837	0.103984556755206	0	0.0837825182271948	0	0.0943432908405242	0.00825297059135113	0.0349193725142147	0	0.044214119898583	0.0197523117191214	0.0624522893978776	0.0558075756807289	0.143738140931399	0.000929411142254345	0	0	0.152430880380304	0.00258560944908719	0	0	0.75103587405549	0.73136207094477
MB-0532	0.0212129910054859	0.0710995306112304	0.00281358419535469	0.193016121106783	0	0.122962921180517	0.0265769953222438	0.0868946735852785	0.0259599808282691	0.0277372104866909	0	0.0466483053122582	0.0134116247059191	0.0482804787655624	0.101044158604859	0.142781791841707	0.0158223719743939	0	0.052102381206297	0	0	0.00163487926715052	0	0.726730483800983	0.744639023089127
MB-0535	0.0202217846096848	0.0629670843878296	0.00392157959470399	0.0727539479271865	0	0.0680011001419345	0.00862321717916053	0.124493495561442	0.0146467739416591	0.0421489064738918	0	0.0216342892613799	0.0145513682791506	0.16355307915326	0.0791047394472498	0.197148148704342	0	0.0012916020512177	0.0634186452246182	0.0415202380612888	0	0	0	0.735852043278419	0.74826297138403
MB-0568	0.0143758181304842	0.0342404774284878	0.0322673356747944	0.0892936545299915	0	0.0820835301792295	0.00188916242785163	0.0777155831001568	0	0.0989747014916101	0	0.0338055566428688	0.0316703586440991	0	0.0709097452794014	0.204240545494977	0	0.00664096730821141	0.181777417142792	0.0361006216865418	0	0.00401452483850236	0	0.672115342030122	0.782809275355512
MB-0569	0	0.0536814832418603	0.0810753834919841	0.0293031346241222	0	0.127718367676863	0.0143022130852159	0.0672175637343032	0.0207029447263837	0.0888115233522968	0	0.0214740144395017	0.0129109373235895	0.0447294220219133	0.0656917006846824	0.170715127436488	0.00916069376349951	0	0.139604377038646	0.0494312193347591	0	0.00346989402389115	0	0.726306697626505	0.761177404018032
MB-0570	0.00780420203210285	0.0420490004975485	0	0.150456192857168	0	0.0249219299515368	0.0208379240164885	0.133698900121068	0.0257838762369586	0.0303154383555953	0	0.066759473409509	0.016259737711113	0.088164231326044	0.105072477963894	0.198889801195979	0.000772852475994923	0	0.0761064666278455	0.0121074952211538	0	0	0	0.623944403388446	0.804502204030883
MB-0575	0.00928835455496261	0.0738046481879634	0.0166472260424599	0.0902656090163036	0	0.0810366639501857	0.00209570391407222	0.0833818870657905	0.0147703138482807	0.0515534056643616	0	0.0405124338596176	0.0168494653094187	0.147912829854611	0.0855548427837647	0.180646602957613	0	0	0.101546908926397	0	0.00413310406419803	0	0	0.737678514458936	0.75048482854401
MB-0580	0	0.0299463846893996	0.247947557534462	0.16897203509498	0	0.018801611490763	0.0136348625647069	0.0769752395256193	0.00698181302165552	0.0477868666637295	0	0.0591800760583926	0.0104097602918348	0.0486103047326674	0.0766855204477184	0.0932297346699748	0	0.0135357179455908	0.0873025152685061	0	0	0	0	0.822653094513468	0.661033451961982
MB-0587	0.0201736971795301	0.0180475773553708	0.0636482146467499	0.0669958913217659	0	0.0438491673370926	0	0.0723650205414875	0.0429285363844178	0.0395955542228122	0.00243225995629124	0.028227465881046	0.0286064143679205	0.102401394978833	0.0580162803230014	0.305234467863063	0.0139105944509465	0	0.0790445933077282	0.00718241949187266	0.00629693242826964	0.0010435179618006	0	0.524198324993495	0.859246809952369
MB-0590	0.0367872635187299	0.015422780616357	0.00722638433091349	0.10799798817238	0	0.0675449138799794	0.0777583840902826	0.108415629733348	0.0151600613003069	0.00892789068965576	0.0262574525655414	0.0396560815462501	0.0318512207563054	0.095686108734017	0.149422465391638	0.165852593749037	0.00106824716767168	0	0.0431094333424894	0	0	0.00185510041509782	0	0.584615225140284	0.824001783911051
MB-0592	0.0306048428787201	0.0462837879611391	0.0137167459247543	0.0403120887224061	0	0.102184829633064	0.000834620606765982	0.157430399148517	0.0210498556837993	0.0151327770480764	0.0475944723020785	0.0140076381244179	0.0381884360317173	0.0387918286028127	0.0379796911623008	0.230837547975595	0.00359758953222042	0.0185219916111662	0.125561215094901	0.0106087655506131	0.00551367417646401	0.00124720222847182	0	0.467714637301595	0.887376700534659
MB-0605	0.0286320760134066	0.0215762988717883	0.0444217059907511	0.0897854556724229	0	0.0364177860084643	0	0.0552399733654608	0.00343353380112672	0.0404227100114391	0	0.0440519422580335	0.0806709739727595	0	0.0625179494213159	0.256516863874031	0.000546480281464905	0.00468272658734342	0.0899786872851968	0.136692772961178	0	0.00441206362381711	0	0.624191734143286	0.803104354275001
MB-0618	0.0154217851583629	0.0444614744264106	0.00943779828322377	0.0619069615095436	0	0.0587256192728922	0	0.102096498677148	0.00826521224119896	0.0293618665431324	0	0.0641698860206837	0.0656599926147392	0	0.0718535559416246	0.251670176645449	0.0176825415279552	0	0	0.17588663816326	0.0213028090499091	0.00209718392446661	0	0.665193047153305	0.777563346102875
MB-0631	0	0.0492038464286108	0.018838496504358	0.106904217161014	0	0.142524656647718	0	0.0591010307982795	0	0.0833751174099863	0	0.0753019751949872	0.0356485661153744	0	0.0856303395775795	0.170225446158774	0.0122769808575889	0	0.112576459783178	0.0483928673625515	0	0	0	0.604984209326701	0.81267068491343
